user,item,rating
3265,7372,1
3265,7715,1
3265,8745,1
3265,456,1
3265,8710,1
3265,1858,1
3265,8589,1
3265,8658,1
3265,6296,1
3265,6777,1
3265,812,1
3265,2575,1
3265,6864,1
3265,9294,1
3265,3284,1
3265,5666,1
662,4503,1
662,4225,1
662,9615,1
662,8589,1
290,8589,1
4307,7784,1
4307,8902,1
4307,8817,1
4307,4689,1
4307,8801,1
4307,798,1
218,4237,1
218,1151,1
218,8054,1
218,2157,1
218,7212,1
218,826,1
218,9234,1
218,3570,1
218,1109,1
218,2083,1
218,4763,1
218,1405,1
218,8589,1
5206,3736,1
5206,8589,1
2689,2885,1
2689,8153,1
2689,5735,1
2689,9095,1
2689,898,1
2689,6516,1
2689,2397,1
2689,3398,1
2689,2682,1
2689,9828,1
2689,633,1
2689,8589,1
2689,3956,1
2689,6826,1
2689,2364,1
2689,251,1
2689,1635,1
2689,5222,1
2689,1785,1
2689,4011,1
2689,4692,1
2689,2274,1
2689,2608,1
5902,8589,1
5902,724,1
6724,2838,1
6724,2885,1
6724,5338,1
6724,484,1
6724,9569,1
6724,8589,1
6724,1895,1
6724,1771,1
6724,2375,1
451,6739,1
451,8589,1
6330,167,1
6330,3757,1
6330,8589,1
6330,8054,1
4980,6632,1
4980,3718,1
4953,5877,1
4953,8589,1
3817,6415,1
3817,2798,1
3817,776,1
3817,5782,1
3817,8589,1
3817,4687,1
5114,113,1
5114,8589,1
5114,5824,1
5114,4664,1
5114,334,1
5114,8748,1
5114,2934,1
7721,8589,1
7721,8655,1
66,2282,1
66,689,1
66,1328,1
66,4712,1
66,6190,1
66,3284,1
66,6173,1
66,5971,1
66,4377,1
7704,8589,1
7704,733,1
4717,8589,1
4717,6965,1
3813,8589,1
3813,7820,1
3813,5477,1
3813,4467,1
3813,3422,1
3813,9426,1
3813,7580,1
4728,966,1
4728,8589,1
4728,689,1
532,5581,1
532,8589,1
532,5806,1
5726,8589,1
5726,7345,1
5726,8846,1
5726,5991,1
1405,2366,1
1405,4237,1
1405,5071,1
1405,611,1
1405,1151,1
1405,1635,1
1405,2885,1
1405,3284,1
1405,4569,1
1405,1881,1
1405,7715,1
1405,8589,1
