user,item,rating
896,2110,1
896,523,1
896,2617,1
896,276,1
896,119,1
896,1386,1
896,1517,1
896,2097,1
896,1104,1
896,2188,1
896,924,1
896,1435,1
896,2139,1
542,2296,1
179,965,1
179,1342,1
179,2488,1
179,1995,1
422,1879,1
422,153,1
422,1695,1
422,906,1
422,319,1
422,1778,1
422,1659,1
422,2050,1
422,462,1
422,787,1
422,2621,1
422,627,1
422,305,1
422,2781,1
422,740,1
422,2773,1
422,1057,1
422,862,1
422,2734,1
422,1605,1
422,1660,1
249,1821,1
249,2034,1
249,2431,1
249,551,1
249,451,1
249,2748,1
249,462,1
642,1013,1
52,1379,1
52,1546,1
52,1559,1
52,924,1
52,1774,1
52,2771,1
52,1168,1
52,2534,1
444,736,1
1215,131,1
1215,2370,1
1215,462,1
1215,924,1
1215,1659,1
1215,1995,1
1215,1342,1
1215,2738,1
1215,276,1
1215,710,1
569,545,1
569,1633,1
569,714,1
489,1633,1
489,1774,1
489,1471,1
489,501,1
489,1864,1
146,2660,1
146,2122,1
735,2424,1
735,2528,1
735,2425,1
735,2603,1
735,2368,1
735,1152,1
735,1201,1
735,1784,1
735,1848,1
735,159,1
406,924,1
406,2148,1
406,1419,1
406,2159,1
1768,1349,1
1768,1292,1
1768,1676,1
1768,670,1
1768,1356,1
1768,1660,1
1768,2180,1
1768,1310,1
1768,759,1
1768,2034,1
325,924,1
325,1718,1
325,1604,1
325,2166,1
325,1709,1
325,2395,1
669,1483,1
669,1056,1
669,1885,1
669,1310,1
1202,1880,1
1202,828,1
1202,1659,1
1202,2034,1
1202,292,1
1695,2159,1
1695,1185,1
1695,313,1
1695,1342,1
1695,1659,1
1695,319,1
1695,2691,1
1695,2544,1
1695,1857,1
1695,2199,1
1695,462,1
1695,2152,1
1695,1102,1
1695,804,1
216,119,1
216,2748,1
1277,2288,1
1277,1821,1
1277,469,1
1277,2396,1
1277,2034,1
1277,2691,1
237,634,1
237,1514,1
237,2704,1
237,933,1
237,1652,1
237,829,1
237,1422,1
237,1659,1
237,1392,1
237,2473,1
237,2376,1
237,2121,1
237,2743,1
237,2616,1
237,276,1
237,1933,1
237,1875,1
237,462,1
237,815,1
237,1051,1
1748,1517,1
1748,2091,1
1748,128,1
1748,267,1
1748,1441,1
1748,391,1
1748,648,1
1748,1872,1
1748,1892,1
1748,2667,1
1748,2114,1
1192,788,1
1192,1722,1
1192,2748,1
1192,2034,1
1192,1659,1
1192,2367,1
1192,176,1
1192,119,1
1192,359,1
1192,2743,1
1192,1603,1
1192,741,1
1192,546,1
1192,1843,1
1192,2672,1
1192,615,1
1192,1152,1
1192,2046,1
60,930,1
60,305,1
60,1110,1
60,703,1
60,342,1
60,1306,1
60,2374,1
60,725,1
60,2737,1
60,924,1
60,1875,1
99,1081,1
99,924,1
99,2049,1
99,2034,1
99,2245,1
99,2748,1
99,955,1
975,1875,1
975,121,1
975,2215,1
975,1454,1
975,462,1
975,329,1
975,2260,1
975,26,1
975,2049,1
975,2378,1
975,119,1
975,707,1
975,2142,1
975,2426,1
975,1610,1
975,1821,1
975,1149,1
579,2044,1
579,1593,1
579,396,1
579,1589,1
579,411,1
579,2714,1
579,1633,1
579,501,1
579,2745,1
826,360,1
826,2353,1
826,830,1
1521,1611,1
1521,1626,1
1521,1659,1
1521,276,1
1172,549,1
1172,2285,1
821,687,1
821,2138,1
821,1066,1
821,2348,1
821,1465,1
821,597,1
821,703,1
821,728,1
821,820,1
821,469,1
821,2037,1
821,956,1
821,396,1
821,2279,1
821,1990,1
821,1663,1
821,521,1
821,204,1
821,885,1
821,1517,1
821,2224,1
821,1858,1
821,1177,1
821,1953,1
821,2688,1
821,680,1
821,1418,1
1566,2606,1
1566,839,1
1566,48,1
1566,86,1
1566,2748,1
105,119,1
105,207,1
105,38,1
105,1736,1
1330,1722,1
1330,2595,1
1330,18,1
1330,419,1
1330,2121,1
1330,924,1
586,821,1
586,1862,1
586,729,1
1126,454,1
1126,1360,1
1126,2199,1
1126,1280,1
1126,501,1
1126,1611,1
1126,2403,1
1126,2513,1
1126,2117,1
1126,899,1
1126,1944,1
1126,1298,1
802,200,1
1744,304,1
1744,693,1
965,2412,1
965,1357,1
965,92,1
965,2345,1
965,1233,1
965,2416,1
965,1849,1
965,1483,1
965,2504,1
965,186,1
965,1662,1
965,955,1
965,1712,1
965,2107,1
965,2053,1
965,571,1
965,462,1
965,1324,1
965,368,1
965,586,1
965,44,1
965,366,1
965,299,1
965,1776,1
965,914,1
965,972,1
965,1232,1
1058,759,1
1058,73,1
221,924,1
221,1603,1
221,337,1
221,2034,1
221,501,1
221,1263,1
221,2748,1
1252,1242,1
1252,21,1
1252,1307,1
1252,1419,1
1252,2527,1
1252,1774,1
1252,2285,1
1252,2367,1
1252,2000,1
1252,282,1
1252,361,1
1252,2596,1
1252,2644,1
1571,400,1
267,2428,1
267,2507,1
267,540,1
267,1839,1
267,1995,1
267,1367,1
156,2857,1
156,325,1
156,2049,1
904,1520,1
904,1749,1
904,1774,1
904,1659,1
993,375,1
350,1096,1
350,1306,1
350,1654,1
350,1526,1
350,1795,1
350,1906,1
350,1072,1
350,1327,1
350,180,1
350,1833,1
350,1539,1
350,801,1
350,1674,1
350,692,1
350,432,1
350,2599,1
350,1039,1
350,1232,1
350,1665,1
350,439,1
350,2029,1
711,1394,1
1531,2644,1
1531,1622,1
1531,199,1
1531,1996,1
1531,1745,1
1531,216,1
893,1518,1
893,536,1
893,2697,1
893,276,1
893,1168,1
893,2748,1
893,549,1
893,2005,1
893,713,1
893,282,1
893,1633,1
295,131,1
295,1762,1
295,536,1
295,1306,1
295,2748,1
295,1078,1
295,1741,1
295,1166,1
295,501,1
1042,1917,1
1042,273,1
1042,2557,1
326,319,1
326,1307,1
326,1633,1
326,1038,1
1036,2000,1
1036,0,1
1036,1984,1
