user,item,rating
"""Captain"" Kirk Douglas",Rock,1
"""Captain"" Kirk Douglas",Funk / Soul,1
"""Captain"" Kirk Douglas",The Roots,1
"""J Dog"" Jorel Decker",Hip Hop,1
"""J Dog"" Jorel Decker",Rock,1
"""J Dog"" Jorel Decker",Hollywood Undead,1
(William) Hunter-Lynn,Rock,1
A.A. Bondy,The Low Anthem,1
A.A. Bondy,"Folk, World, & Country",1
A.A. Bondy,The Felice Brothers,1
A.A. Bondy,Deer Tick,1
A.A. Bondy,The Avett Brothers,1
A.A. Bondy,Phosphorescent,1
A.C. Newman,Pop,1
A.C. Newman,Rock,1
A.C. Newman,Guided by Voices,1
A.C. Newman,Sloan,1
A.C. Newman,The New Pornographers,1
A.C. Newman,Spoon,1
A.C. Newman,Wolf Parade,1
A.C. Newman,Rogue Wave,1
A.C. Newman,Ted Leo and the Pharmacists,1
A.H.M. Butler-Jones,Rock,1
A.H.M. Butler-Jones,Bigelf,1
A.J. Dunning,The Verve Pipe,1
A.J. Dunning,Rock,1
A.J. Haynes,Seratones,1
A.J. Haynes,Rock,1
A.J. Minette,The Human Abstract,1
A.J. Minette,Rock,1
A.J. Novello,Cro-Mags,1
A.J. Novello,Rock,1
A.J. Vallejo,Vallejo,1
A.J. Vallejo,Rock,1
A.J. Vallejo,Latin,1
A.J. Vallejo,Pop,1
A.K. Webster,Unknown,1
A.K. Webster,Experience Unlimited,1
A/J Jackson,Rock,1
A/J Jackson,Saint Motel,1
AJ Cavalier,Soil,1
AJ Cavalier,Rock,1
AJ Cavalier,Five Bolt Main,1
AJ Cavalier,Drowning Pool,1
AJ Cavalier,CKY,1
AJ Cavalier,Coal Chamber,1
AJ Cheek,Rock,1
AJ Cheek,Anthem Lights,1
AJ Cheek,The Wrecking,1
AJ Cheek,Circleslide,1
AJ Cheek,Revive,1
AJ Cheek,Nevertheless,1
AJ Michalka,78violet,1
AJ Michalka,Rock,1
AMULETS,Electronic & DJ,1
Aapeli KivimÃ_ki,Rock,1
Aapeli KivimÃ_ki,Shade Empire,1
Aarni T. Otava,Horna,1
Aarni T. Otava,Rock,1
Aaron Aedy,Paradise Lost,1
Aaron Aedy,Rock,1
Aaron Aedy,Moonspell,1
Aaron Aedy,Tiamat,1
Aaron Aedy,Cradle of Filth,1
Aaron Aedy,Deathstars,1
Aaron Aedy,Celtic Frost,1
Aaron Boyd,Bluetree,1
Aaron Boyd,Rock,1
Aaron Boyd,Electronic & DJ,1
Aaron Brooks,The Ghost Inside,1
Aaron Brooks,Rock,1
Aaron Dalbec,Rock,1
Aaron Dalbec,Converge,1
Aaron Dalbec,Only Crime,1
Aaron Dalbec,Police Bastard,1
Aaron Dessner,The National,1
Aaron Dessner,Rock,1
Aaron Druery,Criteria,1
Aaron Druery,Rock,1
Aaron Edge,Rock,1
Aaron Edge,Himsa,1
Aaron Fincke,Rock,1
Aaron Fincke,Lifer,1
