equipment_name,cleaned_name,brand_name,product_name,product_category,instrument_type,equipment_urls
2 Note Torpedo VB-101,2 Note Torpedo VB-101,,,,Guitar,/items/2-note-torpedo-vb-101
30th Anniversary Ibanez TS9 Tube Screamer,30th Anniversary Ibanez TS9 Tube Screamer,,,,Guitar,/items/30th-anniversary-ibanez-ts9-tube-screamer
3Leaf Audio Proton Envelope Filter Guitar Effects Pedal,3Leaf Audio Proton Envelope Filter Guitar Effects Pedal,,,,Guitar,/items/3leaf-audio-proton-envelope-filter-guitar-effects-pedal
4114 Custom Effects - Flux Capacitor Delay Pedal,4114 Custom Effects - Flux Capacitor Delay Pedal,,,,Guitar,/items/4114-custom-effects-flux-capacitor-delay-pedal
A.Y.A R-Comp,A.Y.A R-Comp,,,,Guitar,/items/a-y-a-r-comp
A/DA Flanger,A/DA Flanger,,,,Guitar,/items/a-da-flanger
Abbott's Music Handwired Fuzz Pedal,Abbott's Music Handwired Fuzz Pedal,,,,Guitar,/items/abbott-s-music-handwired-fuzz-pedal
Adventure Audio Fuzz Peaks,Adventure Audio Fuzz Peaks,,,,Guitar,/items/adventure-audio-fuzz-peaks
Aeneko MXR Distortion+ Monster modified,Aeneko MXR Distortion+ Monster modified,,,,Guitar,/items/aeneko-mxr-distortion-monster-modified
AER Pocket Tools Coulorizer,AER Pocket Tools Coulorizer,,,,Guitar,/items/aer-pocket-tools-coulorizer
Aguilar Filter Twin Dual Envelope Filter Effects Bass Pedal,Aguilar Filter Twin Dual Envelope Filter Effects Bass Pedal,,,,Guitar,/items/aguilar-filter-twin-dual-envelope-filter-effects-bass-pedal
Aguilar Tone Hammer Preamp/Direct Box,Aguilar Tone Hammer Preamp/Direct Box,,,,Guitar,/items/aguilar-tone-hammer-preamp-direct-box
Aion Compressor Effects Pedal,Aion Compressor Effects Pedal,,,,Guitar,/items/aion-compressor-effects-pedal
Airis Effects Savage Drive,Airis Effects Savage Drive,,,,Guitar,/items/airis-effects-savage-drive
Airis Effects Solar Flare Distortion Pedal,Airis Effects Solar Flare Distortion Pedal,,,,Guitar,/items/airis-effects-solar-flare-distortion-pedal
Akai Deep Impact,Akai Deep Impact,,,,Guitar,/items/akai-deep-impact
Akai E1 Headrush Delay/Looper,Akai E1 Headrush Delay/Looper,,,,Guitar,/items/akai-e1-headrush-delay-looper
Akai P1 Intelliphase,Akai P1 Intelliphase,,,,Guitar,/items/akai-p1-intelliphase
Akai Professional E2 HeadRush Delay/Looper,Akai Professional E2 HeadRush Delay/Looper,,,,Guitar,/items/akai-professional-e2-headrush-delay-looper
Alien Origami Overdrive,Alien Origami Overdrive,,,,Guitar,/items/alien-origami-overdrive
Alien Space 'O' Verb,Alien Space 'O' Verb,,,,Guitar,/items/alien-space-o-verb
Ampeg Scrambler,Ampeg Scrambler,,,,Guitar,/items/ampeg-scrambler
