user,item,rating
0,296,1
0,1872,1
0,105,1
0,1439,1
0,2331,1
0,1211,1
0,2383,1
0,2507,1
0,446,1
0,245,1
0,1066,1
0,1691,1
0,1354,1
1,275,1
4,857,1
4,2211,1
4,1770,1
4,376,1
6,549,1
6,1114,1
6,1604,1
6,170,1
6,1079,1
6,1388,1
6,1673,1
6,644,1
6,2444,1
6,1319,1
6,1664,1
6,1276,1
6,1705,1
6,2386,1
6,133,1
6,1184,1
6,1074,1
6,1232,1
6,1846,1
6,1132,1
6,2431,1
8,1705,1
8,402,1
8,2446,1
8,1498,1
8,1610,1
8,900,1
8,1826,1
14,897,1
16,2171,1
16,2450,1
16,2467,1
16,2109,1
16,1066,1
16,1390,1
16,2370,1
16,2339,1
21,640,1
23,344,1
23,1770,1
23,519,1
23,376,1
23,1319,1
23,1705,1
23,1066,1
23,548,1
23,2228,1
23,1439,1
26,1506,1
26,619,1
26,483,1
27,1649,1
27,1506,1
27,2109,1
27,445,1
30,1197,1
30,914,1
40,1636,1
40,2428,1
40,138,1
40,2147,1
40,1059,1
40,1777,1
40,2245,1
40,2148,1
40,1368,1
40,2092,1
49,1066,1
49,2529,1
49,1722,1
49,2036,1
57,2141,1
57,1205,1
57,1898,1
57,1607,1
57,528,1
57,17,1
57,1656,1
57,1826,1
57,2444,1
57,1570,1
59,2455,1
59,2102,1
59,1066,1
59,1434,1
59,1533,1
59,756,1
63,1669,1
63,1898,1
63,1973,1
65,1826,1
65,1319,1
70,2261,1
70,453,1
70,2529,1
70,2395,1
70,1642,1
70,1132,1
70,701,1
70,376,1
70,294,1
70,1049,1
70,1705,1
70,1319,1
75,2446,1
75,105,1
78,1610,1
78,2121,1
78,2026,1
78,1826,1
78,2395,1
80,1319,1
80,1786,1
80,933,1
80,1537,1
80,1318,1
80,556,1
80,1156,1
80,2528,1
80,2330,1
80,15,1
80,1379,1
80,1439,1
80,1272,1
80,1516,1
80,2196,1
80,1705,1
80,1661,1
80,1503,1
80,134,1
80,1240,1
85,1909,1
85,114,1
85,683,1
85,2233,1
85,1354,1
85,1658,1
85,1676,1
85,1854,1
85,69,1
85,1287,1
85,570,1
86,540,1
86,1433,1
86,1131,1
86,2479,1
86,2376,1
86,105,1
86,2091,1
86,2216,1
86,686,1
86,161,1
86,1319,1
86,1826,1
86,1537,1
86,45,1
86,2428,1
86,2158,1
86,2446,1
89,1066,1
89,315,1
89,851,1
89,2098,1
89,1661,1
89,825,1
89,1184,1
89,195,1
89,2134,1
89,629,1
94,1826,1
94,1740,1
94,1066,1
94,2061,1
94,1828,1
94,2446,1
94,2157,1
101,1629,1
101,1508,1
101,1123,1
101,1351,1
101,1661,1
101,20,1
101,862,1
101,1723,1
101,305,1
101,1705,1
101,105,1
101,1617,1
101,1298,1
101,1828,1
101,167,1
101,459,1
101,1610,1
104,706,1
104,1913,1
104,445,1
104,1506,1
104,2335,1
104,2413,1
104,826,1
104,385,1
104,4,1
105,16,1
105,604,1
105,2084,1
110,1439,1
110,2336,1
110,1319,1
110,1632,1
113,1647,1
113,1829,1
116,1765,1
116,254,1
116,409,1
116,2388,1
116,1354,1
116,594,1
116,1729,1
116,1373,1
116,772,1
116,30,1
116,602,1
116,786,1
116,1308,1
116,4,1
116,2080,1
116,830,1
116,2033,1
116,1964,1
116,1036,1
116,492,1
116,938,1
120,2058,1
120,732,1
120,2446,1
120,71,1
120,2322,1
123,105,1
123,1095,1
123,32,1
123,1514,1
124,1156,1
124,129,1
124,374,1
124,1066,1
124,45,1
124,2309,1
139,1646,1
139,1837,1
139,633,1
144,1209,1
144,453,1
144,340,1
144,1036,1
144,445,1
144,2336,1
144,1146,1
144,2273,1
144,1895,1
144,1962,1
144,1366,1
153,1303,1
153,2356,1
156,1740,1
156,1237,1
156,150,1
156,1214,1
156,360,1
156,276,1
156,1973,1
156,1529,1
156,1705,1
156,39,1
156,993,1
156,1083,1
156,2172,1
156,2240,1
156,2249,1
156,844,1
156,2304,1
156,2511,1
156,168,1
156,2008,1
156,464,1
156,357,1
156,2138,1
156,746,1
156,1085,1
156,329,1
156,1637,1
157,59,1
157,1656,1
165,1575,1
165,445,1
165,311,1
165,1433,1
165,1066,1
165,1826,1
165,2446,1
171,2111,1
171,1511,1
171,262,1
171,1437,1
171,1722,1
171,112,1
171,1165,1
171,1093,1
171,1647,1
171,2244,1
171,2109,1
171,2311,1
171,2091,1
172,358,1
