user,item,rating
0,2550,1
0,2551,1
0,6553,1
1,2548,1
1,2550,1
1,5526,1
2,2550,1
3,8796,1
3,2547,1
3,8810,1
3,3110,1
3,5851,1
3,8876,1
4,2545,1
4,2550,1
4,9099,1
4,3333,1
4,5060,1
4,5906,1
4,4028,1
4,7627,1
4,3546,1
5,2550,1
5,4413,1
6,4439,1
6,2550,1
7,3064,1
7,2550,1
8,3892,1
8,2550,1
9,3156,1
9,2550,1
10,2672,1
10,2550,1
10,2539,1
10,2545,1
11,2542,1
11,7222,1
12,2550,1
12,8982,1
13,8798,1
13,2550,1
13,6633,1
13,8329,1
13,4522,1
13,3095,1
14,2550,1
14,8751,1
14,4621,1
14,8239,1
14,2633,1
14,2793,1
15,8688,1
15,2550,1
16,2553,1
18,7459,1
18,2550,1
19,6420,1
19,2550,1
19,4963,1
19,7884,1
19,9232,1
19,8065,1
19,5702,1
20,6699,1
20,2550,1
20,2553,1
21,6649,1
21,2550,1
22,2550,1
22,6771,1
22,8831,1
22,7721,1
23,3881,1
23,2550,1
24,7378,1
24,2550,1
25,2550,1
25,4053,1
26,2550,1
26,4790,1
26,5303,1
27,6870,1
27,5123,1
27,8444,1
27,6874,1
27,6888,1
27,5665,1
27,8955,1
27,2550,1
27,4090,1
27,3294,1
28,2542,1
28,8239,1
29,2550,1
29,4600,1
30,8671,1
30,2550,1
31,2547,1
31,5671,1
32,2550,1
32,2909,1
33,8110,1
33,7131,1
33,2550,1
33,3739,1
33,3467,1
33,2595,1
34,2550,1
35,8945,1
35,6618,1
35,2550,1
36,2550,1
36,7344,1
37,2550,1
37,4970,1
37,2553,1
38,7532,1
38,2547,1
38,2550,1
38,5977,1
39,2547,1
39,4358,1
40,2550,1
40,3456,1
41,2547,1
41,2550,1
41,6088,1
41,2551,1
41,2552,1
42,2550,1
42,9129,1
42,6620,1
42,4997,1
42,3909,1
42,4872,1
42,3918,1
42,6714,1
42,3846,1
43,3038,1
43,4147,1
43,2550,1
44,7348,1
44,2550,1
45,5091,1
45,7514,1
45,5785,1
45,2550,1
45,2547,1
45,4275,1
46,2550,1
46,3939,1
47,2550,1
47,8982,1
48,6040,1
48,2550,1
49,3494,1
49,8313,1
49,6571,1
49,8573,1
49,9218,1
49,7951,1
49,7400,1
49,3779,1
49,8340,1
49,2550,1
49,2778,1
49,4534,1
49,6363,1
49,8535,1
50,6808,1
50,2550,1
51,3098,1
51,8342,1
51,5474,1
51,2550,1
52,6736,1
52,2550,1
53,4565,1
53,2542,1
54,2983,1
54,2553,1
55,9171,1
55,2550,1
56,2980,1
56,2552,1
56,2547,1
57,5285,1
57,2550,1
58,7709,1
58,7725,1
58,2612,1
58,6915,1
58,6911,1
58,4403,1
58,6881,1
58,3708,1
58,2550,1
58,7391,1
58,6590,1
58,5471,1
59,6766,1
59,9348,1
59,2550,1
59,6118,1
59,9546,1
59,3907,1
59,3732,1
59,8555,1
59,2580,1
60,2550,1
60,5678,1
61,2550,1
61,4413,1
62,2550,1
62,4166,1
63,8217,1
63,5134,1
63,7667,1
63,6945,1
63,5582,1
63,2550,1
64,2545,1
64,8999,1
64,2550,1
64,6112,1
65,2550,1
66,5018,1
66,2550,1
66,2928,1
67,8474,1
67,4275,1
67,2550,1
67,8346,1
68,2550,1
68,8596,1
69,2550,1
69,5992,1
70,5454,1
70,2550,1
71,2550,1
